number,title,user,created_at,closed_at,merged,merged_at
24510,Enable softmax layer vectorization on RISC-V RVV,asmorkalov,2023-11-08 10:37:43+00:00,2023-11-11 06:09:15+00:00,True,2023-11-11 06:09:14+00:00
24509,Fast gemm for einsum,Abdurrahheem,2023-11-07 17:34:49+00:00,2023-11-16 13:20:18+00:00,True,2023-11-16 13:20:18+00:00
24501,opem,hybristan,2023-11-06 11:19:59+00:00,2023-11-07 16:23:12+00:00,False,
24500,dnn (onnx): add subgraph fusion tests,fengyuentau,2023-11-06 07:12:41+00:00,2023-11-07 14:40:32+00:00,True,2023-11-07 14:40:32+00:00
24499,Replace double atomic in USAC,ivashmak,2023-11-05 21:42:36+00:00,2023-11-20 12:47:35+00:00,True,2023-11-20 12:47:35+00:00
24496,ADD weights yolov3 in models.yml,cabelo,2023-11-04 03:37:58+00:00,2023-11-14 06:06:37+00:00,True,2023-11-14 06:06:37+00:00
24495,Get the SSE2 condition match the emmintrin.h inclusion condition.,vrabaud,2023-11-03 23:52:08+00:00,2023-11-07 06:06:28+00:00,True,2023-11-07 06:06:28+00:00
24492,Use video stream fps first in FFmpeg backend for VideoCapture,asmorkalov,2023-11-03 11:02:21+00:00,2023-11-11 05:53:41+00:00,True,2023-11-11 05:53:41+00:00
24490,Changed Gradle and AGP versions to 8.3,alexlyulkov,2023-11-03 10:08:21+00:00,2023-11-14 14:58:04+00:00,False,
24488,Link lib_acl_op_compiler when compile with CANN,hipudding,2023-11-03 08:42:46+00:00,2023-11-09 06:26:19+00:00,True,2023-11-09 06:26:19+00:00
24486,(5.x) Merge 4.x,asmorkalov,2023-11-03 05:11:24+00:00,2023-11-08 19:16:40+00:00,True,2023-11-08 19:16:40+00:00
24485,Optimize the Implementation of RVV Universal Intrinsic.,hanliutong,2023-11-03 02:47:57+00:00,2023-11-03 09:31:11+00:00,True,2023-11-03 09:31:11+00:00
24483,Commutative rules for DNN subgraphs fusion,dkurt,2023-11-02 12:49:16+00:00,2023-11-08 13:26:33+00:00,True,2023-11-08 13:26:33+00:00
24480,Backport to 4.x: patchNaNs() SIMD acceleration,savuor,2023-11-02 01:33:38+00:00,2023-11-03 05:58:08+00:00,True,2023-11-03 05:58:08+00:00
24479,Fix contour filtering in ArUco,AleksandrPanov,2023-11-01 21:44:16+00:00,2023-11-09 11:57:38+00:00,True,2023-11-09 11:57:38+00:00
24478,Fix MinGW build issue due to obsensor,CCInc,2023-11-01 18:21:26+00:00,2023-11-02 12:26:43+00:00,True,2023-11-02 12:26:43+00:00
24477,Add JavaScript bindings for SimpleBlobDetector,asmorkalov,2023-11-01 14:47:58+00:00,2023-11-08 05:37:12+00:00,True,2023-11-08 05:37:12+00:00
24476,dnn: add attention layer,fengyuentau,2023-11-01 08:56:09+00:00,2023-12-20 16:35:07+00:00,True,2023-12-20 16:35:07+00:00
24475,(4.x) Merge 3.4,opencv-alalek,2023-10-31 15:01:43+00:00,2023-10-31 19:21:01+00:00,True,2023-10-31 19:21:01+00:00
24474,Added Java bindings for BOWImgDescriptorExtractor constructor,asmorkalov,2023-10-31 08:25:03+00:00,2023-11-07 19:00:32+00:00,True,2023-11-07 19:00:32+00:00
24473,Updated Android samples for modern Android studio. Added OpenCV from Maven support.,alexlyulkov,2023-10-31 07:17:39+00:00,2023-11-17 11:17:17+00:00,True,2023-11-17 11:17:17+00:00
24468,Fixed Python signatures in Doxygen documentation.,asmorkalov,2023-10-30 14:29:12+00:00,2023-11-02 05:53:20+00:00,True,2023-11-02 05:53:20+00:00
24466,Improve and refactor softmax layer,WanliZhong,2023-10-28 17:16:43+00:00,2023-11-06 01:48:33+00:00,True,2023-11-06 01:48:33+00:00
24465,Reformat USAC tutorial,ivashmak,2023-10-28 15:54:22+00:00,2023-11-08 11:01:36+00:00,True,2023-11-08 11:01:36+00:00
24463,DNN graph fusion with shared nodes,dkurt,2023-10-27 12:46:44+00:00,2023-11-03 09:34:10+00:00,True,2023-11-03 09:34:10+00:00
24462,"dnn cann backend: add hardswish, layernorm and instasnce norm for cann and bug fix",fengyuentau,2023-10-27 09:41:31+00:00,2023-11-15 14:57:52+00:00,True,2023-11-15 14:57:52+00:00
24461,video tracking (dnn): set backend and target for TrackerVit,fengyuentau,2023-10-27 08:12:29+00:00,2023-10-27 11:12:45+00:00,True,2023-10-27 11:12:45+00:00
24458,Dnn_ Net_ A bug occurred when compiling getUnconnectedOutLayersNames into JavaScript,laolaolulu,2023-10-26 13:35:01+00:00,2023-11-13 11:51:20+00:00,True,2023-11-13 11:51:20+00:00
24456,Added scripts for creating an AAR package and a local Maven repository with OpenCV library,alexlyulkov,2023-10-26 08:09:00+00:00,2023-11-07 11:23:33+00:00,True,2023-11-07 11:23:33+00:00
24454,Refactor ObjectiveC Range class,komakai,2023-10-26 07:53:50+00:00,2023-10-27 11:31:41+00:00,True,2023-10-27 11:31:41+00:00
24453,Enable RISC-V CI configuration for 5.x,asmorkalov,2023-10-26 05:27:13+00:00,2023-10-26 10:28:04+00:00,True,2023-10-26 10:28:04+00:00
24451,Update of IPP integration,eplankin,2023-10-25 17:11:39+00:00,2023-10-27 10:57:12+00:00,True,2023-10-27 10:57:12+00:00
24446,Update optical_flow.py,officialhemant511,2023-10-24 20:10:20+00:00,2023-10-25 20:55:13+00:00,False,
24445,Einsum Layer Performance Test,Abdurrahheem,2023-10-24 18:32:09+00:00,2023-11-08 08:56:21+00:00,True,2023-11-08 08:56:21+00:00
